Data;Categorie;Costo;mese;anno
19/03/2019;Cibo;1,5;03;2019
19/03/2019;Cibo;1,4;03;2019
14/03/2019;Generali;7;03;2019
14/03/2019;Generali;4;03;2019
12/03/2019;Cibo;2,5;03;2019
09/03/2019;Cena fuori;10;03;2019
09/03/2019;Casalinghi;4;03;2019
08/03/2019;Cibo;3;03;2019
06/03/2019;Cibo;1,3;03;2019
03/03/2019;Cibo;1,3;03;2019
02/03/2019;Pagamento;11,9;03;2019
02/03/2019;Cibo;4;03;2019
23/02/2019;Cibo;8,6;02;2019
22/02/2019;Cibo;7;02;2019
21/02/2019;Cena fuori;2,5;02;2019
21/02/2019;Cena fuori;10;02;2019
20/02/2019;Cibo;5;02;2019
20/02/2019;Generali;6,2;02;2019
20/02/2019;Cibo;8,4;02;2019
20/02/2019;Casalinghi;4;02;2019
20/02/2019;Generali;2;02;2019
20/02/2019;Cibo;6,6;02;2019
18/02/2019;Cibo;6;02;2019
17/02/2019;Cena fuori;6;02;2019
16/02/2019;Cibo;13;02;2019
06/02/2019;Cena fuori;5;02;2019
02/02/2019;Cibo;4;02;2019
01/02/2019;Cibo;2,5;02;2019
25/01/2019;Cena fuori;3;01;2019
25/01/2019;Cibo;2,3;01;2019
22/01/2019;Pagamento;3,5;01;2019
22/01/2019;Cibo;4;01;2019
20/01/2019;Cena fuori;6;01;2019
11/01/2019;Cibo;6;01;2019
10/01/2019;Cibo;7;01;2019
09/01/2019;Pagamento;2,27;01;2019
04/01/2019;Cibo;3,35;01;2019
04/01/2019;Cena fuori;10,5;01;2019
03/01/2019;Cena fuori;9;01;2019
01/01/2019;Generali;8;01;2019
31/12/2018;Cibo;3,5;12;2018
31/12/2018;Generali;14,85;12;2018
17/12/2018;Cibo;4,5;12;2018
14/12/2018;Generali;20;12;2018
14/12/2018;Cibo;4;12;2018
13/12/2018;Cena fuori;14;12;2018
13/12/2018;Cibo;1,4;12;2018
13/12/2018;Cibo;5;12;2018
11/12/2018;Cibo;2,1;12;2018
09/12/2018;Cibo;7;12;2018
09/12/2018;Cena fuori;9;12;2018
07/12/2018;Cena fuori;13;12;2018
06/12/2018;Pagamento;16,38;12;2018
05/12/2018;Cena fuori;20;12;2018
03/12/2018;Intrattenimento - Altro;10;12;2018
03/12/2018;Cibo;1,6;12;2018
03/12/2018;Cibo;1,8;12;2018
27/11/2018;Cibo;1,7;11;2018
25/11/2018;Generali;0,45;11;2018
24/11/2018;Cena fuori;11,5;11;2018
24/11/2018;Cibo;6;11;2018
24/11/2018;Cibo;3,62;11;2018
23/11/2018;Generali;11,5;11;2018
20/11/2018;Pagamento;2,36;11;2018
18/11/2018;Cibo;13,8;11;2018
16/11/2018;Generali;20;11;2018
16/11/2018;Cibo;7,8;11;2018
15/11/2018;Cibo;2,88;11;2018
15/11/2018;Generali;4;11;2018
12/11/2018;Cena fuori;13;11;2018
12/11/2018;Cibo;6;11;2018
11/11/2018;Cibo;10,55;11;2018
10/11/2018;Cibo;0,99;11;2018
09/11/2018;Cibo;2;11;2018
06/11/2018;Cena fuori;11;11;2018
03/11/2018;Generali;8;11;2018
01/11/2018;Generali;5;11;2018
30/10/2018;Pagamento;7,27;10;2018
30/10/2018;Cibo;2,94;10;2018
27/10/2018;Cibo;1,89;10;2018
27/10/2018;Cibo;2,7;10;2018
25/10/2018;Cena fuori;4,8;10;2018
22/10/2018;Cibo;6,57;10;2018
21/10/2018;Cibo;5,6;10;2018
19/10/2018;Cena fuori;9;10;2018
